epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,4971.59,1.247,1.20776,1.45104,0.69707,0.69585,0.75242,0.42365,1.46993,1.20784,1.62072,0.0002476,0.0002476,0.0002476
78,5034.36,1.2323,1.16186,1.43256,0.69114,0.71958,0.72416,0.41292,1.48678,1.21003,1.63258,0.0002377,0.0002377,0.0002377
79,5100.18,1.25123,1.17678,1.44567,0.67678,0.74083,0.76255,0.4315,1.45158,1.17676,1.61572,0.0002278,0.0002278,0.0002278
80,5163.54,1.23843,1.17138,1.43604,0.68996,0.73727,0.76343,0.42707,1.45067,1.18093,1.60289,0.0002179,0.0002179,0.0002179
81,5226.37,1.23895,1.17071,1.43717,0.67795,0.73673,0.75331,0.43091,1.47617,1.1842,1.614,0.000208,0.000208,0.000208
82,5289.25,1.22248,1.16404,1.43211,0.68052,0.74298,0.75972,0.42915,1.45932,1.17294,1.60123,0.0001981,0.0001981,0.0001981
83,5352.59,1.22367,1.1641,1.42202,0.66445,0.72309,0.74075,0.42203,1.44108,1.19801,1.59176,0.0001882,0.0001882,0.0001882
84,5417.06,1.2045,1.13634,1.42076,0.68874,0.72742,0.75649,0.42713,1.45238,1.17938,1.59765,0.0001783,0.0001783,0.0001783
85,5479.65,1.21979,1.14117,1.41672,0.67511,0.73852,0.75377,0.42512,1.47568,1.18148,1.61568,0.0001684,0.0001684,0.0001684
86,5542.43,1.22252,1.12502,1.42778,0.70418,0.73089,0.75409,0.43398,1.4505,1.16343,1.59653,0.0001585,0.0001585,0.0001585
87,5605.51,1.21318,1.13279,1.42075,0.70878,0.71375,0.74691,0.43477,1.45257,1.16489,1.60167,0.0001486,0.0001486,0.0001486
88,5668.21,1.21244,1.11519,1.43028,0.69851,0.73015,0.75101,0.43454,1.4759,1.17375,1.62031,0.0001387,0.0001387,0.0001387
89,5730.98,1.1896,1.10104,1.4035,0.68323,0.7377,0.76368,0.43961,1.44571,1.14896,1.59754,0.0001288,0.0001288,0.0001288
90,5794.82,1.20087,1.1129,1.41727,0.68466,0.72213,0.74932,0.43842,1.46109,1.16423,1.61163,0.0001189,0.0001189,0.0001189
91,5886.6,1.21925,1.08578,1.47035,0.69193,0.72723,0.74802,0.42944,1.45501,1.18563,1.62057,0.000109,0.000109,0.000109
92,5949.31,1.20699,1.0508,1.4603,0.69974,0.74638,0.75694,0.43523,1.43551,1.17998,1.59704,9.91e-05,9.91e-05,9.91e-05
93,6012.56,1.19525,1.04596,1.45662,0.68419,0.73197,0.7488,0.44004,1.43733,1.17305,1.60181,8.92e-05,8.92e-05,8.92e-05
94,6076.52,1.16675,1.01493,1.43157,0.70315,0.70907,0.74602,0.43362,1.44625,1.17941,1.59935,7.93e-05,7.93e-05,7.93e-05
95,6140.6,1.16175,0.99528,1.43676,0.72505,0.72823,0.75234,0.43226,1.44346,1.19286,1.59685,6.94e-05,6.94e-05,6.94e-05
96,6203.73,1.16992,1.01429,1.44113,0.7068,0.73507,0.75833,0.44202,1.44861,1.15741,1.59924,5.95e-05,5.95e-05,5.95e-05
97,6266.79,1.15663,0.97514,1.42376,0.69077,0.74011,0.75404,0.43904,1.43424,1.15962,1.59098,4.96e-05,4.96e-05,4.96e-05
98,6330.11,1.1518,0.9922,1.42603,0.70432,0.73782,0.76179,0.44109,1.44083,1.14669,1.58861,3.97e-05,3.97e-05,3.97e-05
99,6393.87,1.15529,0.96457,1.42164,0.71615,0.72692,0.75854,0.44122,1.44677,1.15608,1.59345,2.98e-05,2.98e-05,2.98e-05
100,6457.59,1.14018,0.95865,1.40859,0.70989,0.72031,0.76237,0.44509,1.44101,1.15362,1.59103,1.99e-05,1.99e-05,1.99e-05
